ADI,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE,NELSON JOBIM,CARLOS VELLOSO,MAURÍCIO CORRÊA,NÉRI DA SILVEIRA
ADI 6811,2021-08-23,Não,0,9,1,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE DA EXPRESSÃO “E MUNICÍPIOS”, CONSTANTE DO ART. 97, § 6º, DA CONSTITUIÇÃO DO ESTADO DE PERNAMBUCO, NA REDAÇÃO CONFERIDA PELA EC 35/2013, AFIRMANDO-SE QUE O TETO REMUNERATÓRIO APLICÁVEL AOS SERVIDORES MUNICIPAIS, EXCETUADOS OS VEREADORES, É O SUBSÍDIO DO PREFEITO MUNICIPAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO EDSON FACHIN. FALOU, PELA INTERESSADA, O DR. HÉLIO LÚCIO DANTAS DA SILVA, PROCURADOR-GERAL DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE PERNAMBUCO. PLENÁRIO, SESSÃO VIRTUAL DE 13.8.2021 A 20.8.2021.",1,0,1,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 3431,2020-06-29,Não,0,7,4,Principal," O TRIBUNAL, POR MAIORIA, JULGOU IMPROCEDENTE A AÇÃO DIRETA, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS EDSON FACHIN, MARCO AURÉLIO, RICARDO LEWANDOWSKI E ROSA WEBER. AFIRMOU SUSPEIÇÃO O MINISTRO LUIZ FUX. PLENÁRIO, SESSÃO VIRTUAL DE 19.6.2020 A 26.6.2020.",0,0,1,1,1,-1,1,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADI 3336,2020-02-14,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PREJUDICADA A AÇÃO DIRETA EM RELAÇÃO AOS ARTS. 11, INCISOS I, III, IV E V; E 24 DA LEI Nº 4.247, DE 16 DE DEZEMBRO DE 2003, DO ESTADO DO RIO DE JANEIRO; E, QUANTO À PARTE CONHECIDA, JULGOU IMPROCEDENTE O PEDIDO FORMULADO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 7.2.2020 A 13.2.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5583,2021-05-17,Não,Conferir voto do Relator: MARCO AURÉLIO,9,2,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PARCIALMENTE PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DAR INTERPRETAÇÃO CONFORME A CONSTITUIÇÃO AO ART. 35, III E V, DA LEI Nº 9.250/1995, ESTABELECENDO QUE, NA APURAÇÃO DO IMPOSTO SOBRE A RENDA DE PESSOA FÍSICA, A PESSOA COM DEFICIÊNCIA QUE SUPERE O LIMITE ETÁRIO E SEJA CAPACITADA PARA O TRABALHO PODE SER CONSIDERADA COMO DEPENDENTE QUANDO A SUA REMUNERAÇÃO NÃO EXCEDER AS DEDUÇÕES AUTORIZADAS POR LEI. FOI FIXADA A SEGUINTE TESE DE JULGAMENTO: ""NA APURAÇÃO DO IMPOSTO SOBRE A RENDA DE PESSOA FÍSICA, A PESSOA COM DEFICIÊNCIA QUE SUPERE O LIMITE ETÁRIO E SEJA CAPACITADA PARA O TRABALHO PODE SER CONSIDERADA COMO DEPENDENTE QUANDO A SUA REMUNERAÇÃO NÃO EXCEDER AS DEDUÇÕES AUTORIZADAS POR LEI"". TUDO NOS TERMOS DO VOTO DO MINISTRO ROBERTO BARROSO, REDATOR PARA O ACÓRDÃO, VENCIDOS OS MINISTROS MARCO AURÉLIO (RELATOR) E ALEXANDRE DE MORAES, QUE JULGAVAM IMPROCEDENTE O PEDIDO. O MINISTRO GILMAR MENDES ACOMPANHOU O MINISTRO ROBERTO BARROSO COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 7.5.2021 A 14.5.2021.",1,0,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6825,2022-02-21,Sim,0,11,0,Principal," O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA A FIM DE DECLARAR A INCONSTITUCIONALIDADE DO ART. 3º, III E V, DA LEI 8.821, DE 27.1.1989, DO ESTADO DO RIO GRANDE DO SUL, E MODULOU OS EFEITOS DA DECLARAÇÃO DE INCONSTITUCIONALIDADE A PARTIR DA PUBLICAÇÃO DO ACÓRDÃO PROLATADO NO RE 851.108 (20/04/2021), ""RESSALVANDO-SE AS AÇÕES JUDICIAIS PENDENTES DE CONCLUSÃO ATÉ O MESMO MARCO TEMPORAL EM QUE SE DISCUTA (1) A QUAL ESTADO O CONTRIBUINTE DEVERIA EFETUAR O PAGAMENTO DO ITCMD, CONSIDERANDO A OCORRÊNCIA DE BITRIBUTAÇÃO; OU (2) A VALIDADE DA COBRANÇA DESSE IMPOSTO, NÃO TENDO SIDO PAGO ANTERIORMENTE"", NOS TERMOS DO VOTO ORA REAJUSTADO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 11.2.2022 A 18.2.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5040,2020-11-04,Não,0,8,2,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE FORMAL DA LEI Nº 6.336/2013 DO ESTADO DO PIAUÍ, NOS TERMOS DO VOTO DA RELATORA, VENCIDOS OS MINISTROS ALEXANDRE DE MORAES E MARCO AURÉLIO. OS MINISTROS EDSON FACHIN E ROBERTO BARROSO ACOMPANHARAM A RELATORA COM RESSALVAS. FALOU, PELA REQUERENTE, O DR. GUILHERME PUPE DA NÓBREGA. PLENÁRIO, SESSÃO VIRTUAL DE 23.10.2020 A 3.11.2020.",0,0,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5606,2022-02-21,Não,Conferir voto do Relator: RICARDO LEWANDOWSKIConferir voto do Relator: RICARDO LEWANDOWSKIConferir voto do Relator: RICARDO LEWANDOWSKI,6,5,Principal,"O TRIBUNAL, POR MAIORIA, CONHECEU PARCIALMENTE DA AÇÃO DIRETA E, NESSA PARTE, JULGOU IMPROCEDENTE O PEDIDO, VENCIDOS OS MINISTROS RICARDO LEWANDOWSKI (RELATOR), CÁRMEN LÚCIA, ROSA WEBER, EDSON FACHIN E DIAS TOFFOLI, QUE CONHECIAM PARCIALMENTE DA AÇÃO E JULGAVAM PROCEDENTE O PEDIDO. REDIGIRÁ O ACÓRDÃO O MINISTRO ROBERTO BARROSO. PLENÁRIO, SESSÃO VIRTUAL DE 11.2.2022 A 18.2.2022.",1,1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 5166,2020-11-04,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU IMPROCEDENTE A AÇÃO DIRETA DE INCONSTITUCIONALIDADE, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 23.10.2020 A 3.11.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 4381,2020-05-22,Não,0,10,1,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA DECLARAR A INCONSTITUCIONALIDADE FORMAL DA LEI Nº 5.605, DE 18.12.2009, DO ESTADO DO RIO DE JANEIRO, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO EDSON FACHIN. PLENÁRIO, SESSÃO VIRTUAL DE 15.5.2020 A 21.5.2020.",0,0,1,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6950,2022-02-21,Sim,0,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU IMPROCEDENTE O PEDIDO DE DECLARAÇÃO DE INCONSTITUCIONALIDADE DO ART. 74, § 1º, DA LEI COMPLEMENTAR Nº 1/1994 DO DISTRITO FEDERAL, E FIXOU A SEGUINTE TESE DE JULGAMENTO: ""NÃO ESTABELECE EQUIPARAÇÃO REMUNERATÓRIA INCONSTITUCIONAL A NORMA ESTADUAL QUE AUTORIZA O AUDITOR DE CONTAS A RECEBER OS MESMOS VENCIMENTOS E VANTAGENS DO CONSELHEIRO QUANDO ESTIVER ATUANDO EM SUA SUBSTITUIÇÃO. POR SE TRATAR DO EXERCÍCIO TEMPORÁRIO DAS MESMAS FUNÇÕES, ADMITE-SE O PAGAMENTO DE IGUAL REMUNERAÇÃO, POR CRITÉRIO DE ISONOMIA"", NOS TERMOS DO VOTO DO RELATOR. FALOU, PELOS AMICI CURIAE, O DR. JOÃO MARCOS FONSECA DE MELO. PLENÁRIO, SESSÃO VIRTUAL DE 11.2.2022 A 18.2.2022.",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6522,2021-05-17,Sim,0,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA PARA: A) DECLARAR A INCONSTITUCIONALIDADE DO § 5º DO ART. 22 DA LEI ORGÂNICA DO DISTRITO FEDERAL; E B) INTERPRETAR CONFORME À CONSTITUIÇÃO DA REPÚBLICA O § 6º DO ART. 22 DA LEI ORGÂNICA DO DISTRITO FEDERAL PARA QUE A DIVULGAÇÃO DE INICIATIVA DE ATO, PROGRAMA, OBRA OU SERVIÇO PÚBLICO DE QUE SEJA ELE AUTOR SE REALIZE COM A FINALIDADE EXCLUSIVA DE INFORMAR OU EDUCAR E APENAS PELOS CANAIS DO PRÓPRIO MANDATÁRIO OU PARTIDO POLÍTICO, NÃO SE ADMITINDO A SUA CONFUSÃO COM A PUBLICIDADE DO ÓRGÃO PÚBLICO OU ENTIDADE, NOS TERMOS DO VOTO DA RELATORA. PLENÁRIO, SESSÃO VIRTUAL DE 7.5.2021 A 14.5.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6875,2022-02-21,Não,0,10,1,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU IMPROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA, EM ORDEM A RECONHECER A CONSTITUCIONALIDADE DO PODER REQUISITÓRIO ATRIBUÍDO À DEFENSORIA PÚBLICA PELOS ARTS. 9º, XIV E XIX, E 36, IX, DA LEI COMPLEMENTAR 251/2003 DO ESTADO DO RIO GRANDE DO NORTE, NOS TERMOS DO VOTO DO RELATOR, VENCIDA PARCIALMENTE A MINISTRA CÁRMEN LÚCIA. FALARAM: PELO AMICUS CURIAE DEFENSORIA PÚBLICA DA UNIÃO, O DR. DANIEL DE MACEDO ALVES PEREIRA, DEFENSOR PÚBLICO-GERAL FEDERAL; E, PELOS AMICI CURIAE ASSOCIAÇÃO NACIONAL DAS DEFENSORAS E DEFENSORES PÚBLICOS - ANADEP E COLÉGIO NACIONAL DE DEFENSORES PÚBLICOS GERAIS - CONDEGE, O DR. ILTON NORBERTO ROBL FILHO. PLENÁRIO, SESSÃO VIRTUAL DE 11.2.2022 A 18.2.2022.",1,1,1,1,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 3738,2020-11-04,Não,0,8,2,Principal,"O TRIBUNAL, POR MAIORIA, JULGOU IMPROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS DIAS TOFFOLI E GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 23.10.2020 A 3.11.2020.",0,0,1,-1,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 6475,2021-05-17,Não,0,10,1,Principal,"O TRIBUNAL, POR MAIORIA, CONFIRMANDO A CAUTELAR DEFERIDA, JULGOU PROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA, PARA DECLARAR A INCONSTITUCIONALIDADE DA LEI Nº 11.274/2020, DO ESTADO DO MARANHÃO, COM AS ALTERAÇÕES PROMOVIDAS PELA LEI Nº 11.298/2020, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. FALARAM: PELO REQUERENTE, O DR. FÁBIO LIMA QUINTAS; E, PELO AMICUS CURIAE BANCO CENTRAL DO BRASIL, A DRA. LUCIANA LIMA ROCHA, PROCURADORA DO BANCO CENTRAL. PLENÁRIO, SESSÃO VIRTUAL DE 7.5.2021 A 14.5.2021.",1,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI 4247,2020-11-04,Sim,0,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU IMPROCEDENTE O PEDIDO FORMULADO NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE, NOS TERMOS DO VOTO DO RELATOR. OS MINISTROS DIAS TOFFOLI, CÁRMEN LÚCIA, GILMAR MENDES, ALEXANDRE DE MORAES, ROSA WEBER, LUIZ FUX (PRESIDENTE) E RICARDO LEWANDOWSKI ACOMPANHARAM O RELATOR COM RESSALVAS. FALARAM: PELO INTERESSADO GOVERNADOR DO ESTADO DO RIO DE JANEIRO, O DR. MARCELO ROCHA DE MELLO MARTINS, PROCURADOR DO ESTADO; E, PELO AMICUS CURIAE ASSOCIAÇÃO NACIONAL DE FUNDAÇÕES ESTATAIS DE SAÚDE, O DR. THIAGO LOPES CARDOSO CAMPOS. PLENÁRIO, SESSÃO VIRTUAL DE 23.10.2020 A 3.11.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
